# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Full Version
# File: C:\Users\Kevin Wang\Desktop\miniproject.csv
# Generated on: Sun Apr 18 22:05:28 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Reserved,Group,PCB layer,I/O Standard,Current Strength,Slew Rate
blue_out,Output,PIN_K21,6,B6_N1,,,,,,
bt1,Input,PIN_G3,1,B1_N0,,,,,,
bt2,Input,PIN_H2,1,B1_N1,,,,,,
clk,Input,PIN_G21,6,B6_N1,,,,,,
green_out,Output,PIN_J17,6,B6_N0,,,,,,
horiz_sync_out,Output,PIN_L21,6,B6_N1,,,,,,
mouse_clk,Bidir,PIN_P22,5,B5_N0,,,,,,
mouse_data,Bidir,PIN_P21,5,B5_N0,,,,,,
red_out,Output,PIN_H17,6,B6_N0,,,,,,
seg0_dec,Output,PIN_D13,7,B7_N1,,,,,,
seg1_dec,Output,PIN_B15,7,B7_N1,,,,,,
vert_sync_out,Output,PIN_L22,6,B6_N1,,,,,,
seg1[0],Unknown,PIN_A13,7,B7_N1,,,,,,
seg1[1],Unknown,PIN_B13,7,B7_N1,,,,,,
seg1[2],Unknown,PIN_C13,7,B7_N1,,,,,,
seg1[3],Unknown,PIN_A14,7,B7_N1,,,,,,
seg1[4],Unknown,PIN_B14,7,B7_N1,,,,,,
seg1[5],Unknown,PIN_E14,7,B7_N1,,,,,,
seg1[6],Unknown,PIN_A15,7,B7_N1,,,,,,
seg0[0],Unknown,PIN_E11,7,B7_N1,,,,,,
seg0[1],Unknown,PIN_F11,7,B7_N1,,,,,,
seg0[2],Unknown,PIN_H12,7,B7_N1,,,,,,
seg0[3],Unknown,PIN_H13,7,B7_N1,,,,,,
seg0[4],Unknown,PIN_G12,7,B7_N1,,,,,,
seg0[5],Unknown,PIN_F12,7,B7_N1,,,,,,
seg0[6],Unknown,PIN_F13,7,B7_N1,,,,,,
,Unknown,PIN_F6,,,,,,,,
,Unknown,PIN_F5,,,,,,,,
,Unknown,PIN_G6,,,,,,,,
,Unknown,PIN_H5,1,B1_N0,,,,,,
,Unknown,PIN_B2,1,B1_N0,,,,,,
,Unknown,PIN_B1,1,B1_N0,,,,,,
,Unknown,PIN_G5,1,B1_N0,,,,,,
,Unknown,PIN_E4,1,B1_N0,,,,,,
,Unknown,PIN_E3,1,B1_N0,,,,,,
,Unknown,PIN_C2,,,,,,,,
,Unknown,PIN_C1,1,B1_N0,,,,,,
,Unknown,PIN_D2,1,B1_N0,,,,,,
,Unknown,PIN_D1,1,B1_N0,,,,,,
,Unknown,PIN_H7,1,B1_N0,,,,,,
,Unknown,PIN_H6,,,,,,,,
,Unknown,PIN_J6,1,B1_N0,,,,,,
,Unknown,PIN_E2,1,B1_N0,,,,,,
,Unknown,PIN_E1,,,,,,,,
,Unknown,PIN_F2,1,B1_N0,,,,,,
,Unknown,PIN_F1,,,,,,,,
,Unknown,PIN_G4,1,B1_N0,,,,,,
,Unknown,PIN_K6,1,B1_N1,,,,,,
,Unknown,PIN_L8,1,B1_N1,,,,,,
,Unknown,PIN_K8,,,,,,,,
,Unknown,PIN_J7,1,B1_N1,,,,,,
,Unknown,PIN_K7,1,B1_N1,,,,,,
,Unknown,PIN_J4,1,B1_N1,,,,,,
,Unknown,PIN_H1,1,B1_N1,,,,,,
,Unknown,PIN_J3,1,B1_N1,,,,,,
,Unknown,PIN_J2,,,,,,,,
,Unknown,PIN_J1,1,B1_N1,,,,,,
,Unknown,PIN_K2,1,B1_N1,,,,,,
,Unknown,PIN_K1,1,B1_N1,,,,,,
,Unknown,PIN_K5,1,B1_N1,,,,,,
,Unknown,PIN_L5,1,B1_N1,,,,,,
,Unknown,PIN_L2,1,B1_N1,,,,,,
,Unknown,PIN_L1,1,B1_N1,,,,,,
,Unknown,PIN_L4,1,B1_N1,,,,,,
,Unknown,PIN_L3,1,B1_N1,,,,,,
,Unknown,PIN_G2,1,B1_N1,,,,,,
,Unknown,PIN_G1,1,B1_N1,,,,,,
,Unknown,PIN_T2,2,B2_N0,,,,,,
,Unknown,PIN_T1,2,B2_N0,,,,,,
,Unknown,PIN_L6,2,B2_N0,,,,,,
,Unknown,PIN_M6,2,B2_N0,,,,,,
,Unknown,PIN_M2,2,B2_N0,,,,,,
,Unknown,PIN_M1,2,B2_N0,,,,,,
,Unknown,PIN_M4,2,B2_N0,,,,,,
,Unknown,PIN_M3,2,B2_N0,,,,,,
,Unknown,PIN_N2,2,B2_N0,,,,,,
,Unknown,PIN_N1,2,B2_N0,,,,,,
,Unknown,PIN_L7,2,B2_N0,,,,,,
,Unknown,PIN_M5,2,B2_N0,,,,,,
,Unknown,PIN_P2,2,B2_N0,,,,,,
,Unknown,PIN_P1,2,B2_N0,,,,,,
,Unknown,PIN_R2,2,B2_N0,,,,,,
,Unknown,PIN_R1,2,B2_N0,,,,,,
,Unknown,PIN_N5,2,B2_N0,,,,,,
,Unknown,PIN_P4,2,B2_N0,,,,,,
,Unknown,PIN_P3,2,B2_N0,,,,,,
,Unknown,PIN_U2,2,B2_N0,,,,,,
,Unknown,PIN_U1,2,B2_N0,,,,,,
,Unknown,PIN_V2,2,B2_N0,,,,,,
,Unknown,PIN_V1,2,B2_N0,,,,,,
,Unknown,PIN_P5,2,B2_N0,,,,,,
,Unknown,PIN_N6,2,B2_N0,,,,,,
,Unknown,PIN_M7,2,B2_N0,,,,,,
,Unknown,PIN_M8,2,B2_N1,,,,,,
,Unknown,PIN_N8,2,B2_N1,,,,,,
,Unknown,PIN_W2,2,B2_N1,,,,,,
,Unknown,PIN_W1,2,B2_N1,,,,,,
,Unknown,PIN_Y2,2,B2_N1,,,,,,
,Unknown,PIN_Y1,2,B2_N1,,,,,,
,Unknown,PIN_T3,2,B2_N1,,,,,,
,Unknown,PIN_N7,2,B2_N1,,,,,,
,Unknown,PIN_P7,2,B2_N1,,,,,,
,Unknown,PIN_AA2,2,B2_N1,,,,,,
,Unknown,PIN_AA1,2,B2_N1,,,,,,
,Unknown,PIN_V4,2,B2_N1,,,,,,
,Unknown,PIN_V3,2,B2_N1,,,,,,
,Unknown,PIN_P6,2,B2_N1,,,,,,
,Unknown,PIN_R5,2,B2_N1,,,,,,
,Unknown,PIN_T4,2,B2_N1,,,,,,
,Unknown,PIN_T5,2,B2_N1,,,,,,
,Unknown,PIN_R6,2,B2_N1,,,,,,
,Unknown,PIN_R7,2,B2_N1,,,,,,
,Unknown,PIN_T7,2,B2_N1,,,,,,
,Unknown,PIN_P8,2,B2_N1,,,,,,
,Unknown,PIN_R8,2,B2_N1,,,,,,
,Unknown,PIN_T6,,,,,,,,
,Unknown,PIN_U5,,,,,,,,
,Unknown,PIN_U6,,,,,,,,
